year,country,value
2023,Slovenia,1.1640000000000001
2024,Slovenia,1.155
2025,Slovenia,1.145
2026,Slovenia,1.136
2027,Slovenia,1.127
2028,Slovenia,1.1179999999999999
2029,Slovenia,1.109
2030,Slovenia,1.1
2018,Belarus,1.7890000000000001
2019,Belarus,1.795
2020,Belarus,1.8019999999999998
2021,Belarus,1.8090000000000002
2022,Belarus,1.815
2023,Belarus,1.8219999999999998
2024,Belarus,1.829
2025,Belarus,1.8359999999999999
2026,Belarus,1.8430000000000002
2027,Belarus,1.85
2028,Belarus,1.857
2029,Belarus,1.864
2030,Belarus,1.871
2018,Estonia,1.9240000000000002
2019,Estonia,1.949
2020,Estonia,1.975
2021,Estonia,2.001
2022,Estonia,2.0269999999999997
2023,Estonia,2.0540000000000003
2024,Estonia,2.081
2025,Estonia,2.108
2026,Estonia,2.136
2027,Estonia,2.164
2028,Estonia,2.193
2029,Estonia,2.222
2030,Estonia,2.252
2018,Latvia,1.421
2019,Latvia,1.4280000000000002
2020,Latvia,1.436
2021,Latvia,1.444
2022,Latvia,1.453
2023,Latvia,1.4609999999999999
2024,Latvia,1.469
2025,Latvia,1.4780000000000002
2026,Latvia,1.486
2027,Latvia,1.495
2028,Latvia,1.5030000000000001
2029,Latvia,1.5119999999999998
2030,Latvia,1.52
2018,Lithuania,1.835
2019,Lithuania,1.8519999999999999
2020,Lithuania,1.87
2021,Lithuania,1.8880000000000001
2022,Lithuania,1.906
2023,Lithuania,1.9240000000000002
2024,Lithuania,1.943
2025,Lithuania,1.962
2026,Lithuania,1.9809999999999999
2027,Lithuania,2.0
2028,Lithuania,2.019
2029,Lithuania,2.039
2030,Lithuania,2.059
2018,Moldova,1.31
2019,Moldova,1.306
2020,Moldova,1.3019999999999998
2021,Moldova,1.298
2022,Moldova,1.294
2023,Moldova,1.291
2024,Moldova,1.287
2025,Moldova,1.2830000000000001
2026,Moldova,1.28
2027,Moldova,1.2770000000000001
2028,Moldova,1.273
2029,Moldova,1.27
2030,Moldova,1.266
2018,Russian Federation,1.6
2019,Russian Federation,1.61
2020,Russian Federation,1.619
2021,Russian Federation,1.629
2022,Russian Federation,1.6380000000000001
2023,Russian Federation,1.6480000000000001
2024,Russian Federation,1.6580000000000001
2025,Russian Federation,1.6680000000000001
2026,Russian Federation,1.6780000000000002
2027,Russian Federation,1.6880000000000002
2028,Russian Federation,1.6980000000000002
2029,Russian Federation,1.7080000000000002
2030,Russian Federation,1.719
2018,Ukraine,1.58
2019,Ukraine,1.589
2020,Ukraine,1.597
2021,Ukraine,1.6059999999999999
2022,Ukraine,1.615
2023,Ukraine,1.624
2024,Ukraine,1.633
2025,Ukraine,1.642
2026,Ukraine,1.651
2027,Ukraine,1.66
2028,Ukraine,1.669
2029,Ukraine,1.679
2030,Ukraine,1.6880000000000002
2018,Brunei,0.7390000000000001
2019,Brunei,0.738
2020,Brunei,0.738
2021,Brunei,0.737
2022,Brunei,0.737
2023,Brunei,0.736
2024,Brunei,0.736
2025,Brunei,0.735
2026,Brunei,0.735
2027,Brunei,0.7340000000000001
2028,Brunei,0.7340000000000001
2029,Brunei,0.733
2030,Brunei,0.733
2018,Japan,1.0190000000000001
2019,Japan,1.018
2020,Japan,1.0170000000000001
2021,Japan,1.015
2022,Japan,1.014
2023,Japan,1.013
2024,Japan,1.012
2025,Japan,1.011
2026,Japan,1.01
2027,Japan,1.0090000000000001
2028,Japan,1.008
2029,Japan,1.0070000000000001
2030,Japan,1.006
2018,South Korea,0.992
2019,South Korea,0.99
2020,South Korea,0.987
2021,South Korea,0.9840000000000001
2022,South Korea,0.981
2023,South Korea,0.9790000000000001
2024,South Korea,0.976
2025,South Korea,0.973
2026,South Korea,0.97
2027,South Korea,0.968
2028,South Korea,0.965
2029,South Korea,0.9620000000000001
2030,South Korea,0.9590000000000001
2018,Singapore,0.82
2019,Singapore,0.82
2020,Singapore,0.8190000000000001
2021,Singapore,0.8190000000000001
2022,Singapore,0.818
2023,Singapore,0.818
2024,Singapore,0.818
2025,Singapore,0.8170000000000001
2026,Singapore,0.8170000000000001
2027,Singapore,0.8170000000000001
2028,Singapore,0.816
2029,Singapore,0.816
2030,Singapore,0.815
2018,Australia,1.252
2019,Australia,1.247
2020,Australia,1.242
2021,Australia,1.238
2022,Australia,1.2329999999999999
2023,Australia,1.228
2024,Australia,1.224
2025,Australia,1.219
2026,Australia,1.215
2027,Australia,1.21
2028,Australia,1.206
2029,Australia,1.202
2030,Australia,1.198
2018,New Zealand,1.535
2019,New Zealand,1.53
2020,New Zealand,1.525
2021,New Zealand,1.52
2022,New Zealand,1.516
2023,New Zealand,1.511
2024,New Zealand,1.507
2025,New Zealand,1.5030000000000001
2026,New Zealand,1.4980000000000002
2027,New Zealand,1.494
2028,New Zealand,1.49
2029,New Zealand,1.486
2030,New Zealand,1.482
2018,Andorra,1.368
2019,Andorra,1.351
2020,Andorra,1.334
2021,Andorra,1.317
2022,Andorra,1.3
2023,Andorra,1.284
2024,Andorra,1.2670000000000001
2025,Andorra,1.251
2026,Andorra,1.236
2027,Andorra,1.22
2028,Andorra,1.205
2029,Andorra,1.19
2030,Andorra,1.175
2018,Austria,1.212
2019,Austria,1.206
2020,Austria,1.199
2021,Austria,1.193
2022,Austria,1.186
2023,Austria,1.18
2024,Austria,1.1740000000000002
2025,Austria,1.167
2026,Austria,1.161
2027,Austria,1.155
2028,Austria,1.149
2029,Austria,1.143
2030,Austria,1.137
2018,Belgium,1.218
2019,Belgium,1.2209999999999999
2020,Belgium,1.224
2021,Belgium,1.227
2022,Belgium,1.2309999999999999
2023,Belgium,1.234
2024,Belgium,1.238
2025,Belgium,1.2409999999999999
2026,Belgium,1.245
2027,Belgium,1.249
2028,Belgium,1.252
2029,Belgium,1.256
2030,Belgium,1.26
2018,Cyprus,1.492
2019,Cyprus,1.4869999999999999
2020,Cyprus,1.483
2021,Cyprus,1.479
2022,Cyprus,1.474
2023,Cyprus,1.469
2024,Cyprus,1.465
2025,Cyprus,1.4609999999999999
2026,Cyprus,1.4580000000000002
2027,Cyprus,1.454
2028,Cyprus,1.452
2029,Cyprus,1.449
2030,Cyprus,1.446
2018,Denmark,1.193
2019,Denmark,1.185
2020,Denmark,1.178
2021,Denmark,1.172
2022,Denmark,1.165
2023,Denmark,1.158
2024,Denmark,1.151
2025,Denmark,1.1440000000000001
2026,Denmark,1.138
2027,Denmark,1.131
2028,Denmark,1.124
2029,Denmark,1.1179999999999999
2030,Denmark,1.112
2018,Finland,1.238
2019,Finland,1.236
2020,Finland,1.234
2021,Finland,1.232
2022,Finland,1.229
2023,Finland,1.227
2024,Finland,1.225
2025,Finland,1.2229999999999999
2026,Finland,1.2209999999999999
2027,Finland,1.219
2028,Finland,1.217
2029,Finland,1.215
2030,Finland,1.213
2018,France,1.431
2019,France,1.416
2020,France,1.401
2021,France,1.3869999999999998
2022,France,1.3730000000000002
2023,France,1.358
2024,France,1.345
2025,France,1.331
2026,France,1.317
2027,France,1.304
2028,France,1.29
2029,France,1.2770000000000001
2030,France,1.264
2018,Germany,1.06
2019,Germany,1.053
2020,Germany,1.046
2021,Germany,1.0390000000000001
2022,Germany,1.033
2023,Germany,1.026
2024,Germany,1.0190000000000001
2025,Germany,1.013
2026,Germany,1.006
2027,Germany,1.0
2028,Germany,0.9940000000000001
2029,Germany,0.987
2030,Germany,0.981
2018,Greece,1.2930000000000001
2019,Greece,1.288
2020,Greece,1.2830000000000001
2021,Greece,1.278
2022,Greece,1.273
2023,Greece,1.268
2024,Greece,1.263
2025,Greece,1.258
2026,Greece,1.253
2027,Greece,1.248
2028,Greece,1.244
2029,Greece,1.239
2030,Greece,1.234
2018,Iceland,1.1420000000000001
2019,Iceland,1.149
2020,Iceland,1.156
2021,Iceland,1.163
2022,Iceland,1.17
2023,Iceland,1.177
2024,Iceland,1.1840000000000002
2025,Iceland,1.1909999999999998
2026,Iceland,1.198
2027,Iceland,1.205
2028,Iceland,1.212
2029,Iceland,1.22
2030,Iceland,1.227
2018,Ireland,1.337
2019,Ireland,1.335
2020,Ireland,1.334
2021,Ireland,1.3330000000000002
2022,Ireland,1.3319999999999999
2023,Ireland,1.33
2024,Ireland,1.329
2025,Ireland,1.328
2026,Ireland,1.3259999999999998
2027,Ireland,1.325
2028,Ireland,1.324
2029,Ireland,1.3219999999999998
2030,Ireland,1.321
2018,Israel,0.843
2019,Israel,0.846
2020,Israel,0.848
2021,Israel,0.851
2022,Israel,0.853
2023,Israel,0.856
2024,Israel,0.858
2025,Israel,0.861
2026,Israel,0.863
2027,Israel,0.866
2028,Israel,0.868
2029,Israel,0.871
2030,Israel,0.8740000000000001
2018,Italy,2.035
2019,Italy,2.0140000000000002
2020,Italy,1.992
2021,Italy,1.9709999999999999
2022,Italy,1.95
2023,Italy,1.929
2024,Italy,1.909
2025,Italy,1.889
2026,Italy,1.869
2027,Italy,1.849
2028,Italy,1.829
2029,Italy,1.81
2030,Italy,1.791
2018,Luxembourg,1.77
2019,Luxembourg,1.78
2020,Luxembourg,1.791
2021,Luxembourg,1.801
2022,Luxembourg,1.811
2023,Luxembourg,1.8219999999999998
2024,Luxembourg,1.8319999999999999
2025,Luxembourg,1.8430000000000002
2026,Luxembourg,1.854
2027,Luxembourg,1.865
2028,Luxembourg,1.875
2029,Luxembourg,1.886
2030,Luxembourg,1.8969999999999998
2018,Malta,1.136
2019,Malta,1.137
2020,Malta,1.137
2021,Malta,1.138
2022,Malta,1.139
2023,Malta,1.14
2024,Malta,1.14
2025,Malta,1.141
2026,Malta,1.1420000000000001
2027,Malta,1.143
2028,Malta,1.1440000000000001
2029,Malta,1.146
2030,Malta,1.147
2018,Netherlands,1.115
2019,Netherlands,1.112
2020,Netherlands,1.11
2021,Netherlands,1.1079999999999999
2022,Netherlands,1.105
2023,Netherlands,1.103
2024,Netherlands,1.101
2025,Netherlands,1.099
2026,Netherlands,1.0959999999999999
2027,Netherlands,1.094
2028,Netherlands,1.092
2029,Netherlands,1.09
2030,Netherlands,1.088
2018,Norway,1.082
2019,Norway,1.083
2020,Norway,1.085
2021,Norway,1.087
2022,Norway,1.088
2023,Norway,1.09
2024,Norway,1.092
2025,Norway,1.093
2026,Norway,1.095
2027,Norway,1.097
2028,Norway,1.099
2029,Norway,1.1
2030,Norway,1.102
2018,Portugal,1.34
2019,Portugal,1.327
2020,Portugal,1.314
2021,Portugal,1.301
2022,Portugal,1.2890000000000001
2023,Portugal,1.276
2024,Portugal,1.264
2025,Portugal,1.252
2026,Portugal,1.239
2027,Portugal,1.227
2028,Portugal,1.216
2029,Portugal,1.204
2030,Portugal,1.192
2018,Spain,1.4369999999999998
2019,Spain,1.432
2020,Spain,1.4269999999999998
2021,Spain,1.423
2022,Spain,1.4180000000000001
2023,Spain,1.4140000000000001
2024,Spain,1.409
2025,Spain,1.405
2026,Spain,1.401
2027,Spain,1.3969999999999998
2028,Spain,1.392
2029,Spain,1.3880000000000001
2030,Spain,1.3840000000000001
2018,Sweden,1.597
